unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,income_category,clv_category
15,CW49887,california,4626.801093,yes,Basic,master,2011-01-16,Employed,f,79487,Suburban,Divorced,114,20.0,87,0.0,1,special auto,Special L1,Offer2,Branch,547.2,suv,Medsize,A,1,high,medium
16,FH51383,california,5326.677654,no,Basic,high school or below,2011-02-07,Employed,f,76717,Urban,Married,66,26.0,10,0.0,6,personal auto,Personal L3,Offer4,Call Center,300.528579,two-door car,Large,A,2,high,high
17,TR26615,oregon,2497.531509,no,Basic,high school or below,2011-01-17,Unemployed,m,0,Urban,Married,69,5.0,74,0.0,1,corporate auto,Corporate L2,Offer2,Branch,272.381465,two-door car,Medsize,A,1,low,medium
18,ZC97968,california,2736.352663,no,Basic,college,2011-02-14,Disabled,m,17533,Suburban,Married,73,10.0,1,0.0,1,personal auto,Personal L3,Offer1,Agent,350.4,two-door car,Medsize,A,2,low,medium
19,NJ54277,california,3746.751625,yes,Extended,college,2011-02-26,Employed,f,41479,Rural,Married,94,14.0,38,1.0,1,personal auto,Personal L2,Offer2,Call Center,19.575683,two-door car,Large,A,2,medium,medium
20,OM80593,california,7247.313475,no,Basic,bachelor,2011-02-23,Unemployed,f,0,Suburban,Single,104,9.0,58,0.0,7,personal auto,Personal L3,Offer1,Call Center,499.2,suv,Medsize,A,2,low,high
21,RL65736,oregon,6274.447705,no,Extended,high school or below,2011-02-14,Medical Leave,f,13662,Suburban,Single,85,29.0,37,0.0,3,personal auto,Personal L1,Offer1,Agent,408.0,four-door car,Small,A,2,low,high
22,EQ62488,oregon,15031.5645,no,Basic,college,2011-01-15,Employed,f,59456,Suburban,Married,189,11.0,7,0.0,8,personal auto,Personal L3,Offer2,Call Center,907.2,luxury car,Large,A,1,medium,high
23,NQ71171,california,5107.071054,no,Basic,bachelor,2011-02-02,Employed,m,70174,Rural,Married,64,15.149070740488469,80,0.384256105867471,7,personal auto,Personal L2,Offer1,Agent,128.90032,four-door car,Medsize,A,2,high,high
24,YK32760,oregon,2502.209885,no,Basic,high school or below,2011-02-15,Unemployed,m,0,Suburban,Divorced,74,26.0,95,1.0,1,corporate auto,Corporate L1,Offer1,Agent,355.2,four-door car,Medsize,A,2,low,medium
25,AY59197,nevada,9521.222806,no,Extended,college,2011-01-24,Employed,m,27769,Rural,Married,121,24.0,78,0.0,6,special auto,Special L3,Offer4,Agent,123.15416,suv,Small,A,1,low,high
26,XF15789,arizona,8869.619888,no,Basic,college,2011-02-21,Employed,f,81350,Rural,Married,110,1.0,28,0.0,9,personal auto,Personal L3,Offer3,Branch,228.185834,suv,Large,A,2,high,high
27,MQ68407,oregon,4376.363592,yes,Premium,bachelor,2011-02-28,Employed,f,63774,Rural,Divorced,111,18.0,63,0.0,1,personal auto,Personal L3,Offer2,Agent,60.036683,four-door car,Medsize,A,2,medium,medium
28,CI99444,nevada,2926.886293,no,Basic,college,2011-02-22,Employed,f,92381,Urban,Married,72,24.0,27,0.0,1,special auto,Special L2,Offer2,Call Center,234.774747,four-door car,Medsize,A,2,high,medium
29,BD70337,california,24706.92011,no,Basic,high school or below,2011-01-07,Medical Leave,m,26307,Urban,Married,73,26.0,1,0.0,2,personal auto,Personal L2,Offer4,Call Center,313.192439,four-door car,Medsize,A,1,low,high
30,GX19342,california,8491.465719,no,Premium,high school or below,2011-01-28,Unemployed,f,0,Suburban,Single,116,3.0,97,0.0,3,personal auto,Personal L3,Offer1,Branch,1193.115879,four-door car,Large,A,1,low,high
31,DP19210,california,9191.733549,no,Basic,master,2011-02-08,Employed,f,23823,Suburban,Married,115,5.0,39,0.0,6,corporate auto,Corporate L2,Offer2,Branch,567.48055,sports car,Medsize,A,2,low,high
32,OJ63606,arizona,5776.338737,no,Premium,high school or below,2011-01-28,Medical Leave,f,27510,Suburban,Married,159,5.0,28,3.0,1,corporate auto,Corporate L3,Offer1,Call Center,871.457982,suv,Small,A,1,low,high
33,OH23893,california,9115.57169,no,Basic,bachelor,2011-02-15,Employed,f,69588,Rural,Married,114,19.0,45,0.0,6,personal auto,Personal L1,Offer1,Branch,173.080024,suv,Medsize,A,2,medium,high
34,RI76930,california,4163.04081,no,Basic,college,2011-02-12,Employed,f,43276,Suburban,Married,104,16.0,11,0.0,1,personal auto,Personal L3,Offer2,Call Center,499.2,suv,Large,A,2,medium,medium
35,YK26558,california,5264.642009,no,Basic,college,2011-02-20,Unemployed,f,0,Rural,Divorced,72,30.0,26,0.0,8,special auto,Special L3,Offer1,Branch,135.888306,four-door car,Medsize,A,2,low,high
36,OE15005,california,3945.241604,no,Basic,college,2011-01-05,Medical Leave,m,28855,Suburban,Married,101,12.0,59,0.0,1,personal auto,Personal L2,Offer3,Call Center,647.442031,suv,Medsize,A,1,low,medium
37,RA17555,oregon,5176.730072,no,Basic,high school or below,2011-02-07,Employed,m,41533,Urban,Married,65,2.0,46,0.0,9,corporate auto,Corporate L2,Offer3,Agent,232.879766,four-door car,Medsize,A,2,medium,high
38,ZI34278,arizona,4492.23348,no,Basic,bachelor,2011-01-28,Medical Leave,f,21137,Suburban,Single,61,29.0,62,1.0,6,personal auto,Personal L1,Offer2,Web,292.8,four-door car,Medsize,A,1,low,medium
39,XD72019,oregon,8470.043225,no,Extended,bachelor,2011-02-19,Unemployed,f,0,Suburban,Single,82,1.0,13,0.0,2,personal auto,Personal L2,Offer2,Web,479.312226,four-door car,Large,A,2,low,high
40,RR93140,california,2880.348532,no,Basic,college,2011-01-05,Employed,f,81565,Urban,Married,71,19.0,54,0.0,1,personal auto,Personal L2,Offer2,Branch,190.642833,four-door car,Medsize,A,1,high,medium
41,BE25221,arizona,6182.618843,no,Extended,high school or below,2011-02-07,Medical Leave,m,20072,Suburban,Married,82,35.0,51,0.0,9,corporate auto,Corporate L3,Offer1,Agent,473.266879,four-door car,Medsize,A,2,low,high
42,PV62583,nevada,9799.175061,no,Extended,college,2011-01-03,Medical Leave,m,22166,Suburban,Married,126,10.0,22,0.0,6,personal auto,Personal L3,Offer1,Web,604.8,suv,Medsize,A,1,low,high
43,BL12371,arizona,5790.565333,no,Basic,master,2011-02-03,Employed,m,84551,Rural,Divorced,72,10.0,82,0.0,5,personal auto,Personal L3,Offer2,Agent,28.92584,four-door car,Large,A,2,high,high
44,ER49844,arizona,5041.447024,no,Basic,college,2011-01-19,Employed,m,61972,Rural,Married,64,2.0,52,2.0,5,personal auto,Personal L1,Offer4,Call Center,138.961963,four-door car,Medsize,A,1,medium,high
45,RI22468,arizona,5745.94334,no,Basic,bachelor,2011-01-22,Employed,f,57740,Urban,Married,74,30.0,87,3.0,9,personal auto,Personal L1,Offer3,Web,269.905129,four-door car,Medsize,A,1,medium,high
46,SY48591,arizona,4827.77681,no,Basic,college,2011-01-17,Unemployed,f,0,Suburban,Single,68,29.0,91,0.0,6,personal auto,Personal L3,Offer1,Branch,326.4,four-door car,Medsize,A,1,low,medium
47,PR23514,california,7664.219255,no,Basic,college,2011-01-23,Employed,m,60184,Rural,Divorced,199,7.0,44,1.0,1,personal auto,Personal L3,Offer2,Web,161.61574,luxury suv,Medsize,A,1,medium,high
48,UY32623,california,3593.12645,no,Extended,college,2011-02-05,Disabled,f,18213,Suburban,Divorced,96,12.0,43,1.0,1,corporate auto,Corporate L2,Offer1,Branch,460.8,four-door car,Large,A,2,low,medium
49,QV30663,nevada,9863.502214,no,Extended,master,2011-02-28,Employed,f,99654,Rural,Married,121,13.0,95,0.0,3,personal auto,Personal L3,Offer3,Call Center,272.788141,suv,Medsize,A,2,high,high
50,MS94619,california,5111.304579,no,Basic,high school or below,2011-02-13,Employed,f,76448,Suburban,Married,63,9.0,13,0.0,3,personal auto,Personal L3,Offer3,Web,302.4,four-door car,Medsize,A,2,high,high
51,FT56968,arizona,2590.096027,no,Basic,high school or below,2011-01-03,Employed,m,22398,Suburban,Married,67,15.149070740488469,76,0.384256105867471,1,personal auto,Personal L1,Offer1,Agent,321.6,four-door car,Large,A,1,low,medium
52,TX39594,arizona,2452.491364,no,Basic,high school or below,2011-01-25,Employed,f,51085,Suburban,Married,62,4.0,58,1.0,1,personal auto,Personal L3,Offer3,Call Center,406.902001,two-door car,Small,A,1,medium,medium
53,GR42174,oregon,2194.668123,no,Basic,college,2011-01-02,Unemployed,m,0,Suburban,Single,62,11.0,48,0.0,1,personal auto,Personal L3,Offer4,Call Center,623.525433,four-door car,Medsize,A,1,low,medium
54,XI79589,california,4473.883999,no,Extended,high school or below,2011-02-16,Unemployed,f,0,Suburban,Divorced,125,2.0,84,0.0,1,personal auto,Personal L1,Offer1,Branch,600.0,suv,Medsize,A,2,low,medium
55,XQ74827,arizona,19435.62924,no,Extended,high school or below,2011-02-01,Employed,f,38688,Suburban,Single,249,22.0,6,0.0,3,special auto,Special L3,Offer1,Agent,2294.631639,luxury car,Medsize,A,2,medium,high
56,TW17878,oregon,2457.576007,no,Basic,high school or below,2011-01-27,Employed,f,52926,Suburban,Married,61,2.0,92,0.0,1,personal auto,Personal L3,Offer1,Call Center,292.8,four-door car,Medsize,A,1,medium,medium
57,GB43363,oregon,6870.607058,no,Premium,college,2011-01-24,Unemployed,m,0,Suburban,Single,105,5.0,87,0.0,3,personal auto,Personal L3,Offer1,Branch,756.0,four-door car,Small,A,1,low,high
58,BR69566,california,14019.83314,no,Basic,college,2011-02-18,Employed,m,31739,Suburban,Divorced,71,10.0,29,0.0,2,personal auto,Personal L3,Offer4,Call Center,469.882367,two-door car,Small,A,2,medium,high
59,EP83939,arizona,5575.751228,no,Basic,high school or below,2011-01-26,Employed,m,91416,Rural,Married,69,15.149070740488469,39,0.384256105867471,5,personal auto,Personal L3,Offer2,Call Center,109.904496,four-door car,Medsize,A,1,high,high
60,IQ95180,oregon,5651.396772,no,Basic,bachelor,2011-01-19,Employed,m,44634,Suburban,Married,71,16.0,99,1.0,9,personal auto,Personal L3,Offer1,Branch,396.035334,four-door car,Small,A,1,medium,high
61,JX52708,california,4556.068318,no,Basic,bachelor,2011-02-14,Medical Leave,m,25617,Suburban,Divorced,63,22.0,3,0.0,3,personal auto,Personal L3,Offer2,Call Center,302.4,two-door car,Medsize,A,2,low,medium
62,UF44021,california,2108.493744,no,Basic,bachelor,2011-01-02,Unemployed,m,0,Suburban,Single,61,8.0,91,0.0,1,personal auto,Personal L2,Offer1,Agent,351.85681,two-door car,Medsize,A,1,low,medium
63,AV25133,oregon,3095.705571,no,Extended,college,2011-01-12,Unemployed,f,0,Suburban,Single,92,31.0,24,1.0,1,personal auto,Personal L3,Offer3,Web,774.892461,two-door car,Small,A,1,low,medium
64,WL24392,arizona,5860.16743,no,Basic,bachelor,2011-02-01,Employed,m,94527,Rural,Married,73,16.0,32,0.0,3,personal auto,Personal L1,Offer1,Agent,41.464402,four-door car,Medsize,A,2,high,high
65,LO57874,oregon,2300.691547,yes,Basic,bachelor,2011-01-15,Retired,m,25905,Suburban,Divorced,63,21.0,12,0.0,1,corporate auto,Corporate L3,Offer1,Agent,302.4,four-door car,Large,A,1,low,medium
66,UO54511,california,4950.250892,no,Basic,high school or below,2011-01-20,Employed,f,27400,Suburban,Married,63,14.0,78,1.0,9,personal auto,Personal L1,Offer3,Agent,302.4,four-door car,Medsize,A,1,low,medium
67,KR35099,washington,7507.455372,yes,Basic,college,2011-02-06,Employed,m,60920,Urban,Single,64,15.149070740488469,61,0.384256105867471,2,personal auto,Personal L3,Offer2,Agent,231.201886,two-door car,Medsize,A,2,medium,high
68,NY12562,nevada,2224.089639,no,Basic,college,2011-01-05,Unemployed,f,0,Suburban,Single,64,20.0,4,0.0,1,corporate auto,Corporate L2,Offer2,Branch,483.25721,four-door car,Medsize,A,1,low,medium
69,QG27547,oregon,2867.312197,yes,Extended,bachelor,2011-01-03,Retired,f,23376,Suburban,Divorced,78,19.0,18,0.0,1,personal auto,Personal L3,Offer2,Call Center,374.4,four-door car,Medsize,A,1,low,medium
70,PH78214,oregon,5427.174517,no,Basic,college,2011-02-11,Medical Leave,f,27677,Suburban,Married,72,10.0,82,1.0,3,personal auto,Personal L3,Offer2,Agent,345.6,four-door car,Medsize,A,2,low,high
71,LO37570,arizona,12157.5413,no,Extended,high school or below,2011-01-07,Employed,m,40432,Suburban,Married,77,21.0,66,0.0,2,personal auto,Personal L3,Offer3,Agent,369.6,four-door car,Medsize,A,1,medium,high
72,FH81409,california,8152.244431,no,Extended,high school or below,2011-01-21,Unemployed,m,0,Suburban,Single,79,19.0,70,0.0,2,personal auto,Personal L1,Offer1,Agent,568.8,four-door car,Small,A,1,low,high
73,RW65977,arizona,2191.133237,no,Basic,college,2011-01-29,Unemployed,m,0,Suburban,Single,61,9.0,16,1.0,1,special auto,Special L2,Offer1,Agent,439.2,four-door car,Medsize,A,1,low,medium
74,LD75023,oregon,26346.08582,no,Extended,high school or below,2011-01-20,Employed,m,48268,Suburban,Divorced,223,28.0,26,0.0,2,personal auto,Personal L2,Offer1,Web,1605.6,luxury suv,Medsize,A,1,medium,high
75,OZ92426,oregon,2364.43161,no,Basic,college,2011-01-18,Employed,m,46264,Urban,Single,62,17.0,75,0.0,1,corporate auto,Corporate L1,Offer4,Branch,199.37361,four-door car,Medsize,A,1,medium,medium
76,FI17798,california,2710.12066,no,Basic,doctor,2011-01-11,Unemployed,m,0,Suburban,Married,71,7.0,87,0.0,1,personal auto,Personal L3,Offer1,Agent,340.8,four-door car,Small,A,1,low,medium
77,YC54142,washington,74228.51604,no,Extended,high school or below,2011-01-26,Unemployed,m,0,Suburban,Single,242,1.0,34,0.0,2,personal auto,Personal L1,Offer1,Branch,1742.4,luxury car,Medsize,A,1,low,high
78,LN28900,california,14687.07959,no,Extended,bachelor,2011-02-23,Unemployed,m,0,Suburban,Single,85,3.0,61,0.0,2,personal auto,Personal L1,Offer1,Web,612.0,four-door car,Small,A,2,low,high
79,SX63814,arizona,9312.585034,no,Premium,high school or below,2011-02-13,Employed,m,75986,Rural,Married,115,11.0,44,0.0,3,personal auto,Personal L3,Offer3,Call Center,89.119797,four-door car,Medsize,A,2,high,high
80,VM85555,california,7750.120323,no,Basic,college,2011-02-23,Employed,f,22668,Rural,Single,67,5.0,34,1.0,2,personal auto,Personal L2,Offer3,Branch,33.718553,four-door car,Medsize,A,2,low,high
81,RO18530,washington,2540.689797,no,Basic,master,2011-02-28,Employed,m,42557,Rural,Single,65,4.0,35,0.0,1,personal auto,Personal L3,Offer4,Agent,57.562324,four-door car,Large,A,2,medium,medium
82,FR48094,arizona,2456.816127,no,Basic,high school or below,2011-02-15,Unemployed,m,0,Suburban,Single,73,15.0,59,0.0,1,personal auto,Personal L3,Offer4,Branch,525.6,four-door car,Small,A,2,low,medium
83,DY27653,oregon,3755.806897,no,Extended,high school or below,2011-01-04,Employed,f,56178,Suburban,Married,94,1.0,39,0.0,1,personal auto,Personal L3,Offer2,Branch,451.2,four-door car,Medsize,A,1,medium,medium
84,OH69760,arizona,5181.054467,no,Basic,college,2011-02-02,Unemployed,f,0,Suburban,Married,70,15.149070740488469,64,0.384256105867471,7,personal auto,Personal L1,Offer1,Branch,336.0,four-door car,Large,A,2,low,high
85,CH50584,oregon,32474.76977,no,Basic,high school or below,2011-01-22,Employed,m,71449,Suburban,Divorced,102,17.0,7,0.0,2,personal auto,Personal L3,Offer4,Call Center,734.4,suv,Small,A,1,high,high
86,WM19996,california,8349.523082,no,Basic,bachelor,2011-01-09,Employed,m,45428,Urban,Divorced,109,15.149070740488469,46,0.384256105867471,3,corporate auto,Corporate L3,Offer1,Call Center,487.273964,suv,Medsize,A,1,medium,high
87,ZH92587,oregon,8126.766397,no,Basic,college,2011-02-22,Disabled,f,14616,Suburban,Married,107,15.149070740488469,73,0.384256105867471,3,personal auto,Personal L3,Offer1,Agent,513.6,four-door car,Medsize,A,2,low,high
88,CJ51511,arizona,13466.92071,yes,Basic,high school or below,2011-02-23,Disabled,f,11432,Suburban,Married,119,15.149070740488469,9,0.384256105867471,2,corporate auto,Corporate L3,Offer2,Agent,571.2,four-door car,Medsize,A,2,low,high
89,ME37450,arizona,5210.348372,no,Basic,bachelor,2011-01-04,Employed,m,89781,Rural,Single,66,7.0,89,0.0,5,special auto,Special L2,Offer1,Agent,37.960537,four-door car,Medsize,A,1,high,high
90,KO86181,oregon,6941.872931,no,Basic,college,2011-02-11,Unemployed,f,0,Suburban,Single,111,3.0,73,3.0,6,personal auto,Personal L3,Offer1,Agent,532.8,suv,Small,A,2,low,high
91,KD63933,california,7048.384055,no,Basic,college,2011-02-19,Medical Leave,m,24030,Suburban,Single,194,14.0,0,0.0,1,personal auto,Personal L1,Offer1,Agent,970.688934,luxury suv,Medsize,A,2,low,high
92,CM66204,arizona,26770.44534,no,Basic,college,2011-01-23,Employed,f,26335,Urban,Married,113,32.0,7,1.0,2,personal auto,Personal L2,Offer1,Call Center,355.818306,suv,Large,A,1,low,high
93,NV13794,nevada,9549.113813,no,Basic,high school or below,2011-02-09,Employed,f,55986,Urban,Married,119,3.0,60,0.0,9,personal auto,Personal L1,Offer1,Agent,388.506303,suv,Small,A,2,medium,high
94,HF75891,washington,4331.460674,no,Basic,high school or below,2011-02-11,Employed,f,82302,Suburban,Married,106,11.0,92,0.0,1,personal auto,Personal L2,Offer1,Branch,722.178166,suv,Medsize,A,2,high,medium
95,NB81923,washington,7294.492993,no,Basic,college,2011-02-24,Unemployed,f,0,Suburban,Single,113,12.0,66,2.0,7,personal auto,Personal L3,Offer1,Call Center,733.737214,sports car,Medsize,A,2,low,high
96,AV96010,oregon,3289.120863,no,Extended,college,2011-01-29,Employed,m,40097,Rural,Single,92,23.0,35,4.0,1,personal auto,Personal L2,Offer1,Call Center,227.221652,two-door car,Medsize,A,1,medium,medium
97,CA22248,oregon,2505.42043,no,Basic,master,2011-02-14,Employed,f,60546,Rural,Single,63,21.0,71,0.0,1,personal auto,Personal L3,Offer2,Branch,46.278027,four-door car,Medsize,A,2,medium,medium
98,PK23339,arizona,3417.953745,no,Extended,high school or below,2011-01-25,Employed,f,72460,Urban,Married,85,9.0,76,0.0,1,personal auto,Personal L2,Offer2,Call Center,370.018108,four-door car,Medsize,A,1,high,medium
99,JY66887,california,16320.76716,no,Extended,high school or below,2011-02-27,Unemployed,f,0,Suburban,Single,247,5.0,12,3.0,5,personal auto,Personal L2,Offer2,Branch,1778.4,luxury car,Medsize,A,2,low,high
100,NH16984,california,2838.067784,no,Extended,bachelor,2011-02-07,Unemployed,f,0,Urban,Divorced,80,30.0,8,0.0,1,personal auto,Personal L1,Offer1,Web,336.50961,four-door car,Medsize,A,2,low,medium
101,UV12583,california,4700.583771,no,Basic,college,2011-02-18,Employed,f,76694,Suburban,Married,117,34.0,23,0.0,1,personal auto,Personal L1,Offer4,Agent,561.6,suv,Medsize,A,2,high,medium
102,VG56765,arizona,2471.528431,yes,Basic,high school or below,2011-01-15,Employed,m,95697,Rural,Married,61,16.0,55,0.0,1,personal auto,Personal L2,Offer2,Agent,114.273025,two-door car,Medsize,A,1,high,medium
103,AK11669,arizona,10130.93442,no,Extended,doctor,2011-01-17,Employed,f,59232,Suburban,Divorced,85,6.0,75,0.0,2,corporate auto,Corporate L3,Offer3,Branch,408.0,two-door car,Medsize,A,1,medium,high
104,SZ60450,california,3419.108695,no,Extended,high school or below,2011-02-13,Employed,m,40272,Rural,Married,86,8.0,64,0.0,1,personal auto,Personal L3,Offer3,Agent,23.387192,two-door car,Medsize,A,2,medium,medium
105,MS87381,california,23866.15656,no,Extended,high school or below,2011-02-14,Unemployed,f,0,Suburban,Married,81,27.0,93,1.0,2,personal auto,Personal L2,Offer3,Branch,388.8,four-door car,Medsize,A,2,low,high
106,LP47259,arizona,8324.23271,no,Extended,high school or below,2011-01-01,Unemployed,m,0,Suburban,Single,121,15.149070740488469,92,0.384256105867471,5,corporate auto,Corporate L3,Offer2,Branch,871.2,sports car,Medsize,A,1,low,high
107,No31089,arizona,3179.474225,no,Extended,bachelor,2011-01-21,Employed,f,65742,Urban,Married,79,6.0,0,0.0,1,personal auto,Personal L3,Offer2,Call Center,277.360797,four-door car,Medsize,A,1,medium,medium
108,SD83603,oregon,6672.127831,no,Extended,college,2011-02-13,Employed,f,56830,Urban,Married,83,15.149070740488469,27,0.384256105867471,9,personal auto,Personal L1,Offer2,Agent,319.799712,two-door car,Medsize,A,2,medium,high
109,TK65222,california,16407.66461,no,Premium,bachelor,2011-01-12,Employed,m,22103,Rural,Single,109,16.0,31,0.0,2,personal auto,Personal L2,Offer1,Agent,160.338007,four-door car,Large,A,1,low,high
110,HB48073,arizona,9371.773682,no,Basic,bachelor,2011-02-01,Employed,f,66325,Urban,Married,117,10.0,10,0.0,5,corporate auto,Corporate L2,Offer1,Agent,497.719213,suv,Medsize,A,2,medium,high
111,DO60145,arizona,4270.034394,yes,Extended,college,2011-01-19,Unemployed,m,0,Suburban,Married,122,27.0,2,0.0,1,personal auto,Personal L3,Offer2,Agent,725.870693,suv,Medsize,A,1,low,medium
112,BA40043,california,5799.826802,no,Basic,college,2011-01-03,Employed,m,60689,Rural,Single,74,29.0,67,0.0,7,corporate auto,Corporate L2,Offer2,Branch,5.746657,four-door car,Medsize,A,1,medium,high
113,EC28398,oregon,5096.673223,yes,Basic,master,2011-01-28,Disabled,f,22886,Suburban,Divorced,65,9.0,81,0.0,3,corporate auto,Corporate L2,Offer1,Agent,312.0,four-door car,Small,A,1,low,high
114,FE99816,nevada,15563.36944,no,Premium,bachelor,2011-01-19,Unemployed,f,0,Suburban,Married,253,15.0,40,5.0,7,personal auto,Personal L1,Offer3,Web,1214.4,luxury car,Medsize,A,1,low,high
115,HS39343,washington,7475.784971,no,Basic,bachelor,2011-01-26,Disabled,f,29633,Urban,Married,196,26.0,57,0.0,1,corporate auto,Corporate L3,Offer1,Agent,534.653787,luxury car,Medsize,A,1,low,high
116,GL44478,oregon,9986.661111,no,Extended,high school or below,2011-01-22,Disabled,m,24067,Suburban,Single,132,12.0,2,0.0,6,corporate auto,Corporate L3,Offer2,Branch,633.6,sports car,Medsize,A,1,low,high
117,EF84269,california,5568.656492,no,Extended,college,2011-02-21,Employed,f,51489,Rural,Married,139,14.0,10,0.0,1,personal auto,Personal L2,Offer1,Web,236.739322,suv,Medsize,A,2,medium,high
118,RD22761,washington,20579.69157,no,Basic,bachelor,2011-01-16,Unemployed,m,0,Suburban,Single,69,5.0,26,0.0,2,personal auto,Personal L3,Offer3,Call Center,566.673518,four-door car,Medsize,A,1,low,high
119,DO41287,oregon,8276.44416,no,Extended,high school or below,2011-02-18,Unemployed,m,0,Suburban,Single,82,29.0,92,0.0,2,personal auto,Personal L2,Offer3,Branch,590.4,four-door car,Medsize,A,2,low,high
120,OO89057,california,4014.332715,no,Extended,master,2011-02-17,Employed,f,54054,Rural,Married,99,7.0,55,0.0,1,personal auto,Personal L2,Offer2,Branch,5.661684,four-door car,Medsize,A,2,medium,medium
121,DQ92905,arizona,12989.81806,no,Basic,bachelor,2011-02-24,Unemployed,m,0,Suburban,Single,65,16.0,3,0.0,2,personal auto,Personal L3,Offer1,Web,312.0,four-door car,Medsize,A,2,low,high
122,EW33419,california,15114.40241,yes,Basic,high school or below,2011-01-19,Medical Leave,f,28513,Suburban,Married,100,4.0,22,1.0,2,corporate auto,Corporate L2,Offer2,Call Center,480.0,suv,Medsize,A,1,low,high
123,KH16079,washington,4709.52218,no,Basic,high school or below,2011-02-12,Unemployed,f,0,Suburban,Single,66,17.0,29,0.0,3,personal auto,Personal L1,Offer1,Agent,470.576119,four-door car,Small,A,2,low,medium
124,GU99037,oregon,2452.977288,no,Basic,college,2011-02-14,Employed,m,79898,Urban,Married,62,5.0,86,1.0,1,corporate auto,Corporate L1,Offer4,Agent,271.606799,four-door car,Medsize,A,2,high,medium
125,BM92346,california,3919.366722,yes,Extended,high school or below,2011-01-05,Employed,f,66676,Suburban,Married,97,0.0,40,0.0,1,personal auto,Personal L1,Offer3,Agent,558.099357,four-door car,Small,A,1,medium,medium
